decoder_mode,ppo_reward,ppo_deviation,ppo_fatigue,ppo_energy,ppo_action_magnitude,ppo_intervention_rate,random_reward,random_deviation,random_fatigue,random_energy,random_action_magnitude,random_intervention_rate,none_reward,none_deviation,none_fatigue,none_energy,none_action_magnitude,none_intervention_rate,greedy_degree_reward,greedy_degree_deviation,greedy_degree_fatigue,greedy_degree_energy,greedy_degree_action_magnitude,greedy_degree_intervention_rate,raw_frontier_reward,raw_frontier_deviation,raw_frontier_fatigue,raw_frontier_energy,raw_frontier_action_magnitude,raw_frontier_intervention_rate,ppo_noop_reward_gap,ppo_greedy_reward_gap
current,-22.61145054283339,0.1520405242168345,0.11031788189495273,0.9457520132011548,0.3178803821653128,1.0,-23.131614125914943,0.16000623677857223,0.10295126110129786,0.9917136964964168,0.4950342976003886,1.0,-21.61575765662351,0.16862981598102494,0.09505552117041952,0.0,0.0,0.0,-21.637950718563808,0.150886124588782,0.11081800756164013,0.504218940801802,0.25,1.0,-21.637950718563808,0.150886124588782,0.11081800756164013,0.504218940801802,0.25,1.0,-0.9956928862098771,-0.9734998242695809
additive,-23.439811101209703,0.16312707065627913,0.10511509230143565,0.9356747102550045,0.5888157524168491,1.0,-28.67414665706599,0.2480790832454804,0.03594896996302123,1.034394917183444,0.4950342976003886,1.0,-21.61575765662351,0.16862981598102494,0.09505552117041952,0.0,0.0,0.0,-21.46173387533342,0.14730353878554897,0.11406858851706785,0.5139752854625694,0.25,1.0,-21.46173387533342,0.14730353878554897,0.11406858851706785,0.5139752854625694,0.25,1.0,-1.8240534445861911,-1.9780772258762838
spectral_frontier,-21.34723961093905,0.1441093915516977,0.11638342825022119,0.5585645216291119,0.621490406125784,1.0,-22.66943344095315,0.16035229371604515,0.10293465952914267,0.7437355464457533,0.4950342976003886,1.0,-21.61575765662351,0.16862981598102494,0.09505552117041952,0.0,0.0,0.0,-22.109464702439585,0.15830463870987305,0.10415823870780878,0.5355444480309263,0.25,1.0,-22.109464702439585,0.15830463870987305,0.10415823870780878,0.5355444480309263,0.25,1.0,0.2685180456844627,0.762225091500536
frontier,-21.372720197077232,0.14557249102601785,0.11566504625846571,0.5161093907760829,0.3496493483185768,1.0,-21.249357756147692,0.1432007177576889,0.11765955547741032,0.523154103254145,0.4950342976003886,1.0,-21.61575765662351,0.16862981598102494,0.09505552117041952,0.0,0.0,0.0,-21.645156529184376,0.15065048026689332,0.11115592881295015,0.5111560309237708,0.25,1.0,-21.645156529184376,0.15065048026689332,0.11115592881295015,0.5111560309237708,0.25,1.0,0.24303745954627942,0.27243633210714435
raw_frontier,-20.507854799344564,0.12827065163571394,0.13129887112253344,0.557923039823249,0.325900799639523,0.9950000000000001,-20.376256804082196,0.12460453120945028,0.13469788569619412,0.5904546991637349,0.4950342976003886,1.0,-21.61575765662351,0.16862981598102494,0.09505552117041952,0.0,0.0,0.0,-20.979031845453434,0.13748756651952868,0.12286858519137604,0.543422966965884,0.25,1.0,-19.50417911196221,0.10422973593976352,0.15423570723977173,0.6847100779986383,1.0,1.0,1.1079028572789476,0.47117704610887046
