target_share,policy,mean_reward,mean_adoption_deviation,mean_fatigue,mean_action_energy,mean_action_magnitude,intervention_rate
0.2,ppo,-10.175318892001169,0.010869273476302618,0.16133499170851429,0.510820979472596,0.3701435038149357,1.0
0.2,random,-19.56864819778516,0.18128887878143302,0.013736574002829002,0.3764658097502064,0.4950342976003886,1.0
0.2,none,-12.623872767616852,0.07871096709095873,0.09505552117041952,0.0,0.0,0.0
0.2,greedy_degree,-14.970178517947929,0.04566746212113648,0.18710990608559225,0.5239685007773339,0.25,1.0
0.2,raw_frontier,-14.970178517947929,0.04566746212113648,0.18710990608559225,0.5239685007773339,0.25,1.0
0.2,target_frontier,-13.047932689428936,0.06222622922621668,0.11002727703202982,0.6619729576028883,1.0,1.0
0.3,ppo,-14.354154033268475,0.012103218181431301,0.24106602101505267,0.5452655821863563,0.664050898745656,1.0
0.3,random,-29.568648197785183,0.281288878781433,0.013736574002829002,0.3764658097502064,0.4950342976003886,1.0
0.3,none,-21.61575765662351,0.16862981598102494,0.09505552117041952,0.0,0.0,0.0
0.3,greedy_degree,-17.258103896628157,0.06854671590793877,0.18710990608559225,0.5239685007773339,0.25,1.0
0.3,raw_frontier,-17.258103896628157,0.06854671590793877,0.18710990608559225,0.5239685007773339,0.25,1.0
0.3,target_frontier,-17.511167127220567,0.07561688847839833,0.1742690361227142,0.6180132366225124,1.0,1.0
0.5,ppo,-30.109700164298197,0.146139197178185,0.28764773218065975,0.5566969187233597,0.9999313727617263,1.0
0.5,random,-49.568648197785166,0.4812888787814331,0.013736574002829002,0.3764658097502064,0.4950342976003886,1.0
0.5,none,-41.615757656623465,0.36862981598102496,0.09505552117041952,0.0,0.0,0.0
0.5,greedy_degree,-37.18950109149053,0.2678606878565625,0.18710990608559225,0.5239685007773339,0.25,1.0
0.5,raw_frontier,-37.18950109149053,0.2678606878565625,0.18710990608559225,0.5239685007773339,0.25,1.0
0.5,target_frontier,-30.376692010043797,0.15266829357296227,0.2798222264471697,0.5593756651945412,1.0,1.0
