target_share,policy,episode,reward,deviation,fatigue,energy,final_share
0.2,ppo,0,-10.131859917304428,0.010061883509159084,0.16208963633980603,0.5105948746991111,0.20952385663986206
0.2,ppo,1,-9.939061971456525,0.00983726450055837,0.158684211212676,0.5105624803834439,0.20617103576660156
0.2,ppo,2,-10.57059728772945,0.01336678116768598,0.16426915722666308,0.5102306548138459,0.2081906944513321
0.2,ppo,3,-10.033729596870161,0.009427937731146809,0.16134515628684312,0.5118390047066593,0.20844700932502747
0.2,ppo,4,-10.27396888246471,0.011558160513639443,0.1619551280257292,0.5101982149071526,0.20608553290367126
0.2,ppo,5,-9.874601134233588,0.008903742939233772,0.15922443747287615,0.511502483333201,0.20688433945178986
0.2,ppo,6,-10.273936516522127,0.012073684230446809,0.16089206970762462,0.5109823040481094,0.20838157832622528
0.2,ppo,7,-10.013778337903736,0.009641102477908125,0.16050239139702172,0.5122742601309205,0.2069460153579712
0.2,ppo,8,-10.246210287743326,0.011824103221297256,0.16091211609193123,0.5090970805085167,0.20770655572414398
0.2,ppo,9,-10.39544498778363,0.011998074471950528,0.16347561332397162,0.5109284371950004,0.21203798055648804
0.2,none,0,-12.61683999986417,0.07796732721151783,0.0964021455742477,0.0,0.1637924313545227
0.2,none,1,-13.254833940665419,0.08818526555923743,0.08872614769483335,0.0,0.16406852006912231
0.2,none,2,-12.094606511511662,0.07226546421041713,0.09736120180939906,0.0,0.1676774024963379
0.2,none,3,-12.360131760466901,0.07560115700773895,0.09600032119386015,0.0,0.16597400605678558
0.2,none,4,-12.607127536794001,0.07849191654240713,0.09515871765106568,0.0,0.16499535739421844
0.2,none,5,-12.642794493229305,0.07809362491127103,0.096668640042044,0.0,0.16359132528305054
0.2,none,6,-12.324352774403817,0.07492428368981928,0.09663848810843774,0.0,0.16616517305374146
0.2,none,7,-12.932848369669227,0.07991344552766531,0.09883007633805391,0.0,0.1611451506614685
0.2,none,8,-13.196161504241182,0.08579564644768829,0.09233193718944677,0.0,0.163056418299675
0.2,none,9,-12.209030785322836,0.07587153980182483,0.09243753610280692,0.0,0.16941404342651367
0.2,target_frontier,0,-13.194199509085346,0.06524452716670931,0.10683564457576722,0.6639822818130255,0.07912887632846832
0.2,target_frontier,1,-12.99644802760637,0.060481890194118024,0.11268903054995462,0.6569037403484185,0.2042260318994522
0.2,target_frontier,2,-13.066247326895656,0.062356448430567986,0.11014028872130438,0.6617940238868196,0.16918066143989563
0.2,target_frontier,3,-13.077269554383431,0.06226558065600694,0.11036002006847412,0.6663552426795165,0.09703614562749863
0.2,target_frontier,4,-13.097369340825269,0.06425432603433728,0.10705609765136614,0.6595659274116159,0.13616442680358887
0.2,target_frontier,5,-12.98326619891456,0.06009841812402009,0.11279798304429278,0.6667626171489556,0.13242903351783752
0.2,target_frontier,6,-12.819398696541665,0.060212135195732125,0.109849399686791,0.6528575963144502,0.12397433817386627
0.2,target_frontier,7,-13.146277654879913,0.06359132161363959,0.108916094484739,0.6706703846395016,0.15070973336696625
0.2,target_frontier,8,-13.16051088099253,0.06301507832109929,0.11078702130937018,0.6598259917070467,0.08009358495473862
0.2,target_frontier,9,-12.93833970416462,0.06074256652593613,0.1108411902282387,0.6610117700795333,0.20750324428081512
0.2,random,0,-20.00768477634585,0.19999999999999996,0.0,0.003842388172944387,0.0
0.2,random,1,-19.26522791470179,0.17503995775296058,0.013740104487987992,0.5371134575031659,0.0320604033768177
0.2,random,2,-20.00907711462176,0.19999999999999996,0.0,0.004538557310899099,0.0
0.2,random,3,-20.114632050145687,0.18482441400462446,0.011203595342230983,0.5360054412858396,0.00027513981331139803
0.2,random,4,-17.352484709029966,0.13922784029625743,0.04731474781932775,0.5319816442189156,0.058654073625802994
0.2,random,5,-20.13555708475571,0.18584773306793406,0.009386733776482288,0.540723544569095,0.016107743605971336
0.2,random,6,-19.588852381653748,0.17471743821508423,0.020949382455728482,0.534819718679453,0.0008199099102057517
0.2,random,7,-19.495010732781562,0.17425231418241308,0.020156804945509067,0.5309695336324007,0.012418573722243309
0.2,random,8,-20.0076324327389,0.19999999999999996,0.0,0.0038162163694699606,0.0
0.2,random,9,-19.710322781076588,0.17897909029505651,0.01461437120102346,0.5408475957598808,0.06968393176794052
0.3,ppo,0,-14.25929053616263,0.010491258293390277,0.24236179034691305,0.5460375947389752,0.3118237853050232
0.3,ppo,1,-14.354541695493525,0.013474597387015825,0.23833302830113098,0.5452152708676954,0.3086908161640167
0.3,ppo,2,-14.340986510381162,0.011404808603227146,0.24225661459146067,0.5438374602427085,0.31084951758384705
0.3,ppo,3,-14.31931870309946,0.010785760238766675,0.24292361268308013,0.5472810225343953,0.31071484088897705
0.3,ppo,4,-14.467793057634864,0.014259887754917147,0.2390475638420321,0.544713045020774,0.3067264258861542
0.3,ppo,5,-14.14693928731612,0.010579916507005698,0.2399518173164688,0.5456783853960534,0.3095162808895111
0.3,ppo,6,-14.585954467214524,0.015207288846373561,0.23953010144177825,0.5443602552441259,0.31207048892974854
0.3,ppo,7,-14.587398656048997,0.01299056769907475,0.24395863096695394,0.5452051688969135,0.3133130669593811
0.3,ppo,8,-14.336994161483618,0.0120321218520403,0.2408844327146653,0.54478017027316,0.3107185959815979
0.3,ppo,9,-14.142323257849863,0.00980597463250161,0.2414126179460436,0.5455474486487607,0.3117424547672272
0.3,none,0,-21.54555788130533,0.16725450602592903,0.0964021455742477,0.0,0.1637924313545227
0.3,none,1,-21.987248061101173,0.17550940676359464,0.08872614769483335,0.0,0.16406852006912231
0.3,none,2,-21.48076438776484,0.16612704297294845,0.09736120180939906,0.0,0.1676774024963379
0.3,none,3,-21.58586815201129,0.1678585209231824,0.09600032119386015,0.0,0.16597400605678558
0.3,none,4,-21.57612427022109,0.16818188387667765,0.09515871765106568,0.0,0.16499535739421844
0.3,none,5,-21.542408469707926,0.16708976467605685,0.096668640042044,0.0,0.16359132528305054
0.3,none,6,-21.498523185036948,0.1666659877961502,0.09663848810843774,0.0,0.16616517305374146
0.3,none,7,-21.419548296522454,0.16478044479619716,0.09883007633805391,0.0,0.1611451506614685
0.3,none,8,-21.769595874997368,0.17152999015524986,0.09233193718944677,0.0,0.163056418299675
0.3,none,9,-21.75193798756668,0.17130061182426293,0.09243753610280692,0.0,0.16941404342651367
0.3,target_frontier,0,-17.62722485388183,0.07742416886985301,0.17271959986072033,0.6244139869302512,0.12668514251708984
0.3,target_frontier,1,-17.411225694160226,0.07545715346187352,0.1728999600256793,0.6102561733444531,0.14068429172039032
0.3,target_frontier,2,-17.580767951138373,0.07753126288205386,0.17169922676635907,0.6213401623075206,0.18637557327747345
0.3,target_frontier,3,-17.291791617351898,0.07011125448346138,0.18106588176917285,0.6136860402735571,0.1424671709537506
0.3,target_frontier,4,-17.724680970962527,0.07901334409415722,0.17173398358980194,0.6183236910283566,0.15465708076953888
0.3,target_frontier,5,-17.641208658870376,0.07729095651209354,0.1732924792706035,0.623744522065421,0.1698283702135086
0.3,target_frontier,6,-17.320555745407813,0.07393490107357502,0.17438975709024818,0.6037888917689522,0.29189130663871765
0.3,target_frontier,7,-17.764796441496546,0.07744690290093421,0.17505416580941527,0.6336989304661751,0.22708725929260254
0.3,target_frontier,8,-17.205670219779726,0.07211534905433656,0.1756143777410034,0.6067082136479517,0.3077864646911621
0.3,target_frontier,9,-17.543749119156352,0.0758435914516449,0.17422092930413782,0.6241717543924848,0.16800913214683533
0.3,random,0,-30.007684776345936,0.3,0.0,0.003842388172944387,0.0
0.3,random,1,-29.265227914701796,0.2750399577529606,0.013740104487987992,0.5371134575031659,0.0320604033768177
0.3,random,2,-30.009077114621846,0.3,0.0,0.004538557310899099,0.0
0.3,random,3,-30.114632050145676,0.28482441400462444,0.011203595342230983,0.5360054412858396,0.00027513981331139803
0.3,random,4,-27.352484709029962,0.23922784029625746,0.04731474781932775,0.5319816442189156,0.058654073625802994
0.3,random,5,-30.13555708475572,0.28584773306793404,0.009386733776482288,0.540723544569095,0.016107743605971336
0.3,random,6,-29.588852381653766,0.2747174382150842,0.020949382455728482,0.534819718679453,0.0008199099102057517
0.3,random,7,-29.49501073278156,0.2742523141824131,0.020156804945509067,0.5309695336324007,0.012418573722243309
0.3,random,8,-30.007632432738987,0.3,0.0,0.0038162163694699606,0.0
0.3,random,9,-29.710322781076574,0.2789790902950565,0.01461437120102346,0.5408475957598808,0.06968393176794052
0.5,ppo,0,-29.918594505475085,0.1437663321197033,0.28853857092093677,0.5575163737289608,0.33318138122558594
0.5,ppo,1,-30.266502622853274,0.15091660629957915,0.28124241907848047,0.5563605194856723,0.33178699016571045
0.5,ppo,2,-29.835170292310476,0.13978296767920256,0.2948142451117747,0.5580806344007452,0.3358078896999359
0.5,ppo,3,-30.096498876813193,0.146611872240901,0.2863541221572086,0.5588027724313239,0.34127098321914673
0.5,ppo,4,-30.21104442289043,0.14946911245584488,0.2831017856881954,0.5545219464480877,0.3203330934047699
0.5,ppo,5,-30.112797464970555,0.14663791462779044,0.28672521909466014,0.5563725237292548,0.3277300298213959
0.5,ppo,6,-30.128511354036508,0.1482348468154669,0.2839157168800011,0.5546204142448803,0.3288774788379669
0.5,ppo,7,-30.525838625506694,0.14485767759382726,0.29846440923865886,0.5584252020955085,0.3442569673061371
0.5,ppo,8,-29.97475407739056,0.14567897237837316,0.28595305706956425,0.5546019930375119,0.3294481635093689
0.5,ppo,9,-30.02728940073524,0.14543566957116127,0.2873677765671164,0.5576668076316516,0.330072820186615
0.5,none,0,-41.545557881305285,0.367254506025929,0.0964021455742477,0.0,0.1637924313545227
0.5,none,1,-41.98724806110113,0.3755094067635946,0.08872614769483335,0.0,0.16406852006912231
0.5,none,2,-41.48076438776479,0.3661270429729484,0.09736120180939906,0.0,0.1676774024963379
0.5,none,3,-41.585868152011244,0.3678585209231824,0.09600032119386015,0.0,0.16597400605678558
0.5,none,4,-41.576124270221044,0.3681818838766776,0.09515871765106568,0.0,0.16499535739421844
0.5,none,5,-41.54240846970788,0.3670897646760568,0.096668640042044,0.0,0.16359132528305054
0.5,none,6,-41.4985231850369,0.3666659877961502,0.09663848810843774,0.0,0.16616517305374146
0.5,none,7,-41.41954829652241,0.3647804447961971,0.09883007633805391,0.0,0.1611451506614685
0.5,none,8,-41.76959587499732,0.37152999015524985,0.09233193718944677,0.0,0.163056418299675
0.5,none,9,-41.751937987566635,0.3713006118242629,0.09243753610280692,0.0,0.16941404342651367
0.5,target_frontier,0,-30.654365548403185,0.1580027838051319,0.2746260457439348,0.5613924403466285,0.3412398397922516
0.5,target_frontier,1,-31.253603042031898,0.16873256843537093,0.2652743109012954,0.5583153267150124,0.33473312854766846
0.5,target_frontier,2,-30.205838603951094,0.14961793314665556,0.2823720732401125,0.5627208136399586,0.3346596658229828
0.5,target_frontier,3,-30.577283141839626,0.1571935062855482,0.27467887609731406,0.5619943542095522,0.34158411622047424
0.5,target_frontier,4,-30.20837207639535,0.1494152417778969,0.28315701117971914,0.5544986698098481,0.32053470611572266
0.5,target_frontier,5,-30.592409936059322,0.15634988442063333,0.2766385765909217,0.5627463322249552,0.32936564087867737
0.5,target_frontier,6,-30.128511354036508,0.1482348468154669,0.2839157168800011,0.5546204142448803,0.3288774788379669
0.5,target_frontier,7,-30.144492919595166,0.14802152909338473,0.2842388202017173,0.5651995000854134,0.3384755849838257
0.5,target_frontier,8,-29.97475407739056,0.14567897237837316,0.28595305706956425,0.5546019930375119,0.3294481635093689
0.5,target_frontier,9,-30.02728940073524,0.14543566957116127,0.2873677765671164,0.5576668076316516,0.330072820186615
0.5,random,0,-50.00768477634589,0.5,0.0,0.003842388172944387,0.0
0.5,random,1,-49.26522791470179,0.4750399577529606,0.013740104487987992,0.5371134575031659,0.0320604033768177
0.5,random,2,-50.009077114621796,0.5,0.0,0.004538557310899099,0.0
0.5,random,3,-50.114632050145666,0.4848244140046245,0.011203595342230983,0.5360054412858396,0.00027513981331139803
0.5,random,4,-47.352484709029945,0.43922784029625744,0.04731474781932775,0.5319816442189156,0.058654073625802994
0.5,random,5,-50.135557084755725,0.4858477330679341,0.009386733776482288,0.540723544569095,0.016107743605971336
0.5,random,6,-49.588852381653744,0.4747174382150843,0.020949382455728482,0.534819718679453,0.0008199099102057517
