policy,reward_mean,reward_std,deviation_mean,deviation_std,fatigue_mean,fatigue_std,energy_mean,energy_std,action_magnitude_mean,intervention_rate_mean,final_share_mean,final_share_std,time_to_threshold_mean,time_to_threshold_values
none,-41.615757656623465,0.1710925405943927,0.36862981598102496,0.003212300268444566,0.09505552117041952,0.0030133183026051164,0.0,0.0,0.0,0.0,0.1649879828095436,0.002401498873838871,53.7,53 55 52 53 55 53 55 50 53 58
raw_frontier,-31.10503292964869,0.1961260471554249,0.14613381011039017,0.003105566625235297,0.2876532547298121,0.005267826921337278,1.0544945910595356,0.0019183300539168293,1.0,1.0,0.33229674100875856,0.006838668835555384,3.3,2 5 3 2 4 3 5 2 4 3
