policy,reward_mean,reward_std,deviation_mean,deviation_std,fatigue_mean,fatigue_std,energy_mean,energy_std,action_magnitude_mean,intervention_rate_mean,final_share_mean,final_share_std,time_to_threshold_mean,time_to_threshold_values
none,-21.61575765662351,0.1710925405943927,0.16862981598102494,0.0032123002684445565,0.09505552117041952,0.0030133183026051164,0.0,0.0,0.0,0.0,0.1649879828095436,0.002401498873838871,53.7,53 55 52 53 55 53 55 50 53 58
random,-20.376256804082196,0.23270206842349556,0.12460453120945028,0.004376270839660481,0.13469788569619412,0.004048820039715993,0.5904546991637349,0.004599510416646898,0.4950342976003886,1.0,0.18919773846864701,0.002145990183479086,40.7,52 43 25 37 38 44 40 34 37 57
greedy_degree,-20.979031845453434,0.19972905691141232,0.13748756651952868,0.0036045987446403777,0.12286858519137604,0.003201617632560266,0.543422966965884,0.0020675420510629355,0.25,1.0,0.1801667705178261,0.002590955966948524,46.0,53 47 34 47 43 47 46 42 42 59
raw_frontier,-19.50417911196221,0.21856472269750415,0.10422973593976352,0.004311756807042383,0.15423570723977173,0.004129217088066894,0.6847100779986383,0.006925557709201077,1.0,1.0,0.20310038924217225,0.004071845925813815,23.4,21 31 19 22 30 29 24 15 19 24
