target_share,policy,mean_reward,mean_adoption_deviation,mean_fatigue,mean_action_energy,mean_action_magnitude,intervention_rate
0.2,ppo,-11.556241708635804,0.022746432637795813,0.14550615846700385,1.003145260753017,0.07260109291598202,0.133
0.2,random,-22.019851374486972,0.0842510101307184,0.2302141102951719,1.042022423328273,0.4950342976003886,1.0
0.2,none,-12.623872767616852,0.07871096709095873,0.09505552117041952,0.0,0.0,0.0
0.2,greedy_degree,-15.965778517947928,0.04566746212113648,0.18710990608559225,1.0217685007773343,0.25,1.0
0.2,raw_frontier,-32.38998206960135,0.15898330150991682,0.2876532547298121,1.0544945910595356,1.0,1.0
0.3,ppo,-15.953565530526964,0.026318452623672772,0.22485963641421405,1.039369223724492,0.5234021341353655,1.0
0.3,random,-17.989810541729025,0.043950601803138846,0.2302141102951719,1.042022423328273,0.4950342976003886,1.0
0.3,none,-21.61575765662351,0.16862981598102494,0.09505552117041952,0.0,0.0,0.0
0.3,greedy_degree,-18.253703896628156,0.06854671590793877,0.18710990608559225,1.0217685007773343,0.25,1.0
0.3,raw_frontier,-23.145465927590664,0.06653814008980989,0.2876532547298121,1.0544945910595356,1.0,1.0
0.5,ppo,-32.51501818647101,0.17024039669521154,0.26774492831702806,1.0518660505492239,0.8268661270737647,1.0
0.5,random,-35.89202362046628,0.22297273259051148,0.2302141102951719,1.042022423328273,0.4950342976003886,1.0
0.5,none,-41.615757656623465,0.36862981598102496,0.09505552117041952,0.0,0.0,0.0
0.5,greedy_degree,-38.18510109149052,0.2678606878565625,0.18710990608559225,1.0217685007773343,0.25,1.0
0.5,raw_frontier,-31.10503292964869,0.14613381011039017,0.2876532547298121,1.0544945910595356,1.0,1.0
